字段或策略,生成位置,读取位置,输入依据,是否影响生成,是否影响 Review,是否影响 Feed,真实数据证据,结论,问题说明
plannerReason,src/lib/routes/route-composition-planner.mjs:793; scripts/materialize-route-pool.mjs:352,src/lib/routes/route-search-service.mjs:61; src/lib/routes/composition-validator.mjs:111; 详情/前端展示读取,LLM refine 或 deterministicReason；使用已生成的 concept、目的地、距离/evidence 结果,否,仅 evidence-composed 旧链路校验；planner-designed validator 不把文本作为生成输入,否；Feed 排序/可见性不读 plannerReason,存在 5433/5500 (98.78%)；唯一形态 1897；Top=Geographic+Theme+Transport:5384 / Theme+Theme+Theme:38 / Geographic+Theme+Efficiency:8,仅解释或展示字段,多数 reason 在路线骨架之后生成；删除后路线国家/城市/天数不变，Search 文本匹配和解释会变。
designStrategies,route-composition-planner.mjs:822; scripts/materialize-route-pool.mjs:337; phase2c review builder,src/lib/routes/composition-validator.mjs:111; concept validator; Search generated route builder 写入,context.designStrategies 或 materialize profile.strategies；不少记录由 travelStyle/profile 后补,仅部分；buildRouteConcept 读取 context.designStrategies，但保存字段本身是结果字段,部分；composition-validator 只对 evidence-composed 校验策略合法性/证据,否,存在 5395/5500 (98.09%)；唯一形态 11；Top=Geographic+Transport:1523 / Geographic:1297 / Geographic+Season:1088,疑似后补标签,Geographic/Theme/Transport 等组合大面积重复，不能证明每个标签都独立改变了生成逻辑。
travelStyle,src/lib/routes/route-composition-planner.mjs:897; route-composition-planner.mjs:801; scripts/materialize-route-pool.mjs:338,knowledgeGraph.queryDestinations 参数、buildRouteConcept、content-quality、Search intent/ranking、routes.js 展示/图片策略,warmup/search context、Gold Case cell、materialize concept/profile,是；影响 concept、routeStructure、recommendedDays、destination query 参数,部分；content-quality 对 city-break 等最小目的地数不同,不直接排序；前端/图片策略会读取,存在 5500/5500 (100.00%)；唯一形态 12；Top=classic-first-trip:3056 / theme:742 / rail-journey:650,决策逻辑真实生效,真实影响存在，但当前数据里 style 分布和标题模板高度集中，效果被批量 materialize 模板稀释。
durationBand,buildRouteConcept / durationBandForDays；route-composition-planner.mjs:803; materialize-route-pool.mjs:339,Search intent parser/cache、concept/provenance、前端展示；composition concept validation,context.durationDays、Gold Case durationBand、Search intent duration,是；影响 recommendedDays/durationDays 和 concept duration reason,部分；concept validation 使用 duration concept,否,存在 5500/5500 (100.00%)；唯一形态 5；Top=7-10d:2785 / 4-6d:2256 / 10-14d:389,决策逻辑真实生效,真实影响天数，但保存字段不参与 Feed 排序，且大量 5/7/8/9/10 天模板造成体感单一。
themes,route-composition-planner.mjs:812; scripts/materialize-route-pool.mjs:320; seed-gold-case,Search text/suggestion、media-service、前端卡片/详情、concept validator,styleLabel/theme/profile 或 evidence theme,仅部分；context.theme 会进入 KG query，但大量记录 themes 是 styleLabel 后写,部分；evidence-composed 检查 theme-fit,否,存在 5500/5500 (100.00%)；唯一形态 38；Top=经典首访:3052 / 主题游:737 / 铁路旅程:647,仅部分影响结果,多数 themes 更像 travelStyle 中文标签，不足以证明独立主题策略。
qualityScore,planner/materialize/seed/search builder 写入；多处脚本固定或估算,src/lib/routes/accepted-repository.mjs:125; src/lib/routes/accepted-repository.mjs:273; src/lib/routes/route-search-service.mjs:248,部分来自 validator/score，materialize 中常为固定 0.78,否,无法证明；accepted repository 不用 qualityScore 判断 accepted,是；参与 Feed sort 和 Search ranking,存在 5500/5500 (100.00%)；唯一形态 3；Top=0.78:5384 / 0:78 / 0.96:38,仅部分影响结果,影响排序但不改变路线生成；固定分数多时排序区分度弱。
compositionScore,route-composition-planner.mjs:823; materialize-route-pool.mjs:342; phase2c review builder,src/lib/routes/accepted-repository.mjs:125; src/lib/routes/composition-validator.mjs:111,距离、证据、主题、效率等评分；materialize 多为模板分,否,部分；evidence-composed validator 校验分数阈值，planner-designed 走新 validator,仅 qualityScore 缺失时作 fallback,存在 5433/5500 (98.78%)；唯一形态 4；Top=geographicFit:0.82|transportFeasibility:0.8|seasonalFit:0.78|themeCoherence:0.82|travelEfficiency:0.78|evidenceCompleteness:0.8:5384 / geographicFit:0.9|transportFeasibility:0.86|seasonalFit:0.84|themeCoherence:0.9|travelEfficiency:0.88|evidenceCompleteness:0.82:38 / geographicFit:0.82|transportFeasibility:0.8|seasonalFit:0.7|themeCoherence:0.7|travelEfficiency:0.78|evidenceCompleteness:0.85|depthFit:0.65:10,仅部分影响结果,对旧 evidence-composed 链路更有用；在当前 5500 数据里大量是存储评分。
coverageContribution,route-composition-planner.mjs:824; materialize-route-pool.mjs:351; phase2c review builder,composition-validator 只检查 evidence-composed 是否缺失；未发现 Feed/Search 排序读取,countries/destinations/themes/strategies 数量,否,极弱；旧链路缺失检查,否,"存在 5433/5500 (98.78%)；唯一形态 39；Top={""country"":1,""destinations"":3}:2095 / {""country"":1,""destinations"":4}:1145 / {""country"":1,""destinations"":5}:1121",仅解释或展示字段,更像覆盖统计快照，不参与补洞、排序或可见性。
contentEvidence,route-composition-planner.mjs:837; materialize-route-pool.mjs:364; content-enricher/seed,contracts fallback travelStyle、content-quality、routes.js/materialized 判断、accepted-repository feed variety key,provider、travelStyle、evidenceHash、materialized/plannerRuleVersion,否,部分；content-quality fallback 读取 travelStyle,部分；materialized/plannerRuleVersion 影响前端占位识别和 repository variety key,存在 5462/5500 (99.31%)；唯一形态 84；Top=phase2b-planner:5395 / deepseek:67,仅部分影响结果,主要是来源/缓存元数据；少量前端和 Feed 特判依赖它，非 Planner 策略本身。
Geographic,src/lib/routes/route-design-strategy.mjs:64; src/lib/routes/route-composition-planner.mjs:897; materialize profiles,strategyRegistry.evaluate、validateRouteConcept、composition-validator,destination coordinates/segment metrics/countries,是；候选池、排序、距离/邻近约束会改变目的地组合,部分；策略证据和距离阈值可拒绝 evidence-composed,否,命中 5500/5500；样本均有国家/目的地；registry 要求 segment-metric,决策逻辑真实生效,是真实底层约束，但在 materialized 批量路线中几乎全量存在，区分度不足。
