"Route ID","标题","国家组合","主策略","辅助策略","Planner Reason","Quality Score","Composition Score","Review Status","是否进入 Feed","数据来源","疑似问题"
"wikivoyage-157419","乌拉圭海岸之旅","AR|UY","其他策略","主题路线;小众目的地路线","","0","","accepted","否","source-original","not-feed-eligible"
"wikivoyage-195882","横跨美国东西海岸的火车之旅","US","其他策略","主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-2339","贝阿铁路之旅：穿越西伯利亚的壮丽铁路","RU","其他策略","主题路线;小众目的地路线;航班/交通组合路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-26753","沿巴拉圭河之旅","AR|PY|VE","地缘/邻近国家路线","主题路线","","0","","accepted","否","source-original","not-feed-eligible"
"wikivoyage-143082","美国工业遗产之旅：从波士顿到芝加哥","US","其他策略","主题路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-150874","芬兰群岛环线自驾之旅","FI","地缘/邻近国家路线","主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-164542","阿罗约德尔瓦莱小径徒步路线","US","其他策略","主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-loaded-by-repository;not-feed-eligible;country-combo-overused"
"wikivoyage-170098","菲律宾亚洲公路26号线：从拉瓦格到三宝颜的壮丽之旅","PH","地缘/邻近国家路线","主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-174719","奥桑加特环线徒步：直面安第斯雪峰","PE","地缘/邻近国家路线","主题路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-191110","穿越澳大利亚内陆的安妮·比德尔公路","AU","地缘/邻近国家路线","主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-202785","卡莫纳农业景观之旅","ES","其他策略","主题路线;小众目的地路线","","0","","accepted","否","source-original","not-loaded-by-repository;not-feed-eligible;country-combo-overused"
"wikivoyage-205231","安芸滩飞岛海道骑行之旅","JP","地缘/邻近国家路线","主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-218048","恒河沿岸之旅","IN","其他策略","主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-4076","蓝岭公路自驾之旅","US","地缘/邻近国家路线","主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-4504","布拉多克远征路线自驾之旅","US","其他策略","主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-loaded-by-repository;not-feed-eligible;country-combo-overused"
"wikivoyage-5541","从开罗到内罗毕的陆路之旅","EG|SD","其他策略","主题路线","","0","","accepted","否","source-original","not-loaded-by-repository;not-feed-eligible"
"wikivoyage-5621","加州和风号：从芝加哥到旧金山湾区的铁路之旅","US","其他策略","主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-27","四国八十八所巡礼","JP","地缘/邻近国家路线","主题路线","","0","","accepted","否","source-original","not-loaded-by-repository;not-feed-eligible;country-combo-overused"
"wikivoyage-1804","得克萨斯海岸公路之旅","US","其他策略","主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-120889","从亚历山大到开普敦的陆路之旅","EG|ET","其他策略","主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-loaded-by-repository;not-feed-eligible"
"wikivoyage-134082","阿德之路徒步：比利时乡村雕塑之旅","BE","地缘/邻近国家路线","主题路线","","0","","accepted","否","source-original","not-loaded-by-repository;not-feed-eligible;country-combo-overused"
"wikivoyage-158042","阿拉斯加海上公路：乘渡轮穿越峡湾与冰川","US","其他策略","预算/低成本路线;主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-820","阿尔萨斯葡萄酒之路","CH|DE|FR","其他策略","主题路线","","0","","accepted","否","source-original","not-loaded-by-repository;not-feed-eligible"
"wikivoyage-2545","东南亚香蕉煎饼路线","TH|VN","其他策略","预算/低成本路线;主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-loaded-by-repository;not-feed-eligible"
"wikivoyage-7587","环贝加尔湖铁路之旅","RU","地缘/邻近国家路线","主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-113556","布鲁斯小径徒步之旅","CA","地缘/邻近国家路线","主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-135855","德国山间之路：从达姆施塔特到海德堡","DE","其他策略","主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-loaded-by-repository;not-feed-eligible;country-combo-overused"
"wikivoyage-141916","绝命毒师拍摄地巡礼","US","其他策略","主题路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-154538","波士顿黑人遗产小径徒步之旅","US","其他策略","主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-165980","锈带与阿巴拉契亚：布法罗至匹兹堡公路之旅","US","其他策略","主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-166460","攀登塞梅鲁火山：爪哇岛上的顶级徒步路线","ID","其他策略","主题路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-186361","佛教圣地巡礼：追随佛陀足迹","AF|IN|VN","其他策略","主题路线","","0","","accepted","否","source-original","not-loaded-by-repository;not-feed-eligible"
